audio_path,Korean_transcript
st_set3_collectorgs212_speakergs2061_36_9.wav,넘의 무시 구디가 어디 있는지 아는 사람들은 다른 집 무시를 빼가기도 해찌로
st_set3_collectorgs188_speakergs2855_16_7.wav,산에 가서 조금만 댕겨보만 지패이 만들기 좋은 나무가 천지빼까리시더
st_set3_collectorgs185_speakergs1905_9_12.wav,겨얼에 무글 채소나 과일은 같은 거는 어데 보관하겠습니까
st_set3_collectorgs198_speakergs2076_40_8.wav,콘센트에 코드를 너무 많이 꼽으면 불이 날 수 있을 때 정말 위험합니데이
st_set3_collectorgs213_speakergs3067_55_18.wav,시아버님께서 늦게까지 이 정도 에고 늦게 까정 안 들어오시니 안 드러오만 홀빈해서 불 켜놓고 밤새 기다리고 그랟찌이더
st_set3_collectorgs233_speakergs2008_40_12.wav,콘센트에 코드를 너무 마이 꼽으만 불이 날 수 이쓰니께 정말 위험함니데이
st_set3_collectorgs195_speakergs1320_1_7.wav,둥가지로 쓸 나무는 또갈라가지고 저쪼 담장 밑에 쌓아두만 됩니더 
st_set3_collectorgs233_speakergs3074_57_8.wav,올해는 날씨도 좋았고 비가 적당하게 와서 밭농사가 정말 잘 덴 편이다
st_set3_collectorgs204_speakergs2275_31_14.wav,나이가 드이꺼네 귀끼가 어두워져가 사람들이 무신 말을 해도 잘 몬 알아듣겠니더
st_set3_collectorgs184_speakergs1028_92_6.wav,처음에는 형한테 화가 마이 났는데 야기 듣다 보이까네 이해가 데더라꼬예
st_set3_collectorgs183_speakergs4250_105_8.wav,배치 한 포기 키우는 것도 이러쿠럼 힘든디 어무이는 우예 평생 농사를 짓고 사라쓸라
st_set3_collectorgs219_speakergs3451_77_8.wav,여개는 시골이라 교통이 쫌 불편한디 공기도 깰끔하고 갱치가 참 조아예
st_set3_collectorgs25_speakergs207_84_7.wav,어릴 때 학교는 멋 가고 풀 바리 가고 소 풀 머그려 다니고 그랬다니
st_set3_collectorgs219_speakergs3451_81_7.wav,비가 마이 오마 축대부터 살피고 위험하다 시프먼 퍼떡 집에서 나와야 함미더이
st_set3_collectorgs183_speakergs4410_98_10.wav,아들 오늘 중요한 시험 보러 가니께네 이 생엿하고 찹쌀떡 묵꼬 힘내서 시험 잘 바래이
st_set3_collectorgs198_speakergs1537_12_7.wav,옛날에 무글 것이 업쓰니께 겨울에 고드름도 맛있다고 따묵찌로
st_set3_collectorgs185_speakergs2851_24_7.wav,새옷 이브라니께 사람이 달라 보이는디 전부터 내가 옷 좀 사 입으라고 안 하더나
st_set3_collectorgs183_speakergs1753_17_7.wav,다리도 아프고 날이 뜨거우이꺼네 저기 거렁지에 잠시 쉬었다 갑씨더
st_set3_collectorgs233_speakergs3263_47_9.wav,된장국 끄리가지고 호박밥으로 양념장 비벼가지고 무그면 아삭한 게 마싯니더
st_set3_collectorgs183_speakergs3858_78_10.wav,이야기를 새끼에 영 따서 말려 놨다가 난중에 국 끓일 때 여가 먹으면 마시써예
st_set3_collectorgs212_speakergs1976_104_8.wav,우리 메누리는 자슥뜰 잘 챙기고 차캐가 내가 얼매나 자랑을 하고 댕긴다고
st_set3_collectorgs161_speakergs1899_79_7.wav,돼지 잡을 때는 어른이 여럿 붙어야지 안 그러면 힘들어서 못 잡습니다
st_set3_collectorgs212_speakergs2931_66_7.wav,휴가 때만 데먼 사람들이 여개 놀러와가 씨레기를 내뻐리꺼네 은선시렵다
st_set3_collectorgs187_speakergs3336_22_9.wav,요새 날씨가 가물어서 농새도 못 짓고 계속 집에만 이쓰니께네 정말 답땁네
st_set3_collectorgs185_speakergs1602_82_5.wav,운동을 안 하만 좋은 약을 마이 무거도 아무 소양이 엄니대이 
st_set3_collectorgs233_speakergs2139_26_13.wav,밀감이 너무 새구라워서 못 묵껜는디 냉장고에 다린 과일 있으면 좀 내 올래
st_set3_collectorgs25_speakergs2815_22_13.wav,요새 날씨가 가물어서 농새도 못 짓고 계속 집에만 이쓰니께네 정말 답땁네
st_set3_collectorgs218_speakergs11655_0_10.wav,친정 동네하고 이 동네하고 차리 지낼 때 상 차리는 건 뭐가 다릅니꺼
st_set3_collectorgs233_speakergs2467_49_10.wav,요새는 시간이 조금만 지나도 다 이저삐고 물건도 자주 일개뿌려서 큰일입니다
st_set3_collectorgs185_speakergs1602_26_8.wav,밀감이 너무 세구라워서가 못 묵겐는데 냉장고에 다린 과일 좀 있으면 내 올란교
st_set3_collectorgs183_speakergs3671_91_8.wav,점심때 돌잔치 가가 어띠나 마이 무겄는지 배불러서 저녁은 못 먹겠니더
st_set3_collectorgs161_speakergs963_88_6.wav,스님이 시주하러 오만 마이는 못 드려도 쌀을 쪼매 쓱 담아드리고 그랬니다
st_set3_collectorgs233_speakergs4169_47_9.wav,된장국 끼리고 호박밥 해가 양념장으로 비벼 무만 바삭한 게 맛있네
st_set3_collectorgs213_speakergs2385_37_10.wav,배미에 물리면 병원에 가야지 된장 거튼 거 맘대로 바르면 큰일 남니더이
st_set3_collectorgs184_speakergs1538_67_8.wav,오늘 비 올 것 가틀 거네 우산 챙겨 가고 이자 빼지 말고 단디 챙겨 가온나
st_set3_collectorgs183_speakergs3858_68_10.wav,여개는 촌구숙이라 빙언에 갈라 카모 차를 타고 한참을 나가야 데니더
st_set3_collectorgs233_speakergs3865_96_9.wav,혈압약은 시간을 마춰가 챙겨 드셔야지 안 그라믄 호가가 호가가 엄니데이
st_set3_collectorgs185_speakergs2084_93_11.wav,삼베는 하루 저녁만 짜도 마이 짜는데 멩주는 촘초매가 마이 짜지지도 않고 마이 몬 짠다
st_set3_collectorgs198_speakergs1264_36_7.wav,너메 무시 구디가 어덴지 아는 사람들은 다른 집 무시를 빼 가기도 했지요
st_set3_collectorgs219_speakergs2399_32_11.wav,시아버임께서 옷 차려 입고 나가시만 사람들이 가대재이라고 마이 말씀하씸더
st_set3_collectorgs233_speakergs3921_97_11.wav,집에 돌아와 보니까 문이 열려 있고 뼈다지에 넣어둔 돈이 전부 없어졌습니다
st_set3_collectorgs25_speakergs508_24_14.wav,좋은 옷 입으니까 사람이 더 잘 보이는데 전에부터 내가 옷 좀 사 입어라고 안 카드나
st_set3_collectorgs213_speakergs3268_13_20.wav,지사를 안 모실 끄 가트만 모 모리지만 어 자사를 모실 끄 귿 그트마 은 정성을 들여야 데니데
st_set3_collectorgs233_speakergs2287_92_12.wav,처음에는 형한테 화가 마이 났었는디 이야기를 듣다 보이꺼네 이해가 되더라고예
st_set3_collectorgs183_speakergs4410_89_8.wav,일을 잘할 수 있으면 지가 맡아서 하든지 아니면 당신이 노가리는 하지 말아야지
st_set3_collectorgs195_speakergs1277_94_9.wav,가스레인지에 불켜 낳은걸 잊아 삐라서 음식을 마카 태울 뻔했니더 
st_set3_collectorgs198_speakergs2138_38_8.wav,평생을 농사만 지으니께네 허리가 구버가 이제는 똑바로 걸을 수도 엄니더
st_set3_collectorgs233_speakergs4016_75_8.wav,이우시 좀 시끄러워도 아이가 불펴네질까 봐 고마 참꼬 사랃떱니더
st_set3_collectorgs184_speakergs1157_14_10.wav,밭이 벨로 크지도 아느니꺼네 카배추보다는 상초 거튼 걸 숨구는 기 조켄니더
st_set3_collectorgs183_speakergs1458_14_10.wav,밭이 별로 크지도 아느니께 양배추보다는 상추 같은 거를 숭구는 게 좋겠어요
st_set3_collectorgs25_speakergs2221_7_12.wav,방에 가리떠카고 술을 차려 노아쓰니꺼네 편하게 드시면서 말씀 나누시소
st_set3_collectorgs161_speakergs1066_45_6.wav,감기약 먹고 졸릴 때는 사고 날 수 있으니까 갱운기 몰지 마세요
st_set3_collectorgs25_speakergs1706_51_11.wav,우리 어무이는 솜씨가 조아가 옷도 잘 맹글고 음식도 깔끔나구로 함니더
st_set3_collectorgs219_speakergs3007_82_6.wav,운동을 안 하몬 좋은 약을 마이 무거도 아무 소양이 업슴니대이
st_set3_collectorgs25_speakergs508_102_8.wav,옷감을 짜를 때는 미리 선을 끄어 놓아야 똑바로 잘 자를 수 있어요
st_set3_collectorgs198_speakergs2138_95_6.wav,오랫동안 한 동네에서 살았던 할마인디 도라가시니꺼네 매미 아프네예
st_set3_collectorgs185_speakergs1905_59_8.wav,알라가 놀이공원에 가자꼬 저렇게 깝치는데 바빠도 한번 가봅시다
st_set3_collectorgs198_speakergs1537_99_8.wav,엔날부텀 조상 꿈이나 대지꿈 꾸만 집에 돈 들어온다고 조아핻찌로
st_set3_collectorgs233_speakergs3573_32_8.wav,시아버님께서 옷 차려 입고 나가시만 사람들이 가다재이라꼬 마이 말씀하시데예
st_set3_collectorgs198_speakergs2076_66_9.wav,휴가 때만 되면 사람들이 여 놀러와가지고 씨레기를 내삐리꺼면 언선시럽네
st_set3_collectorgs185_speakergs2873_71_5.wav,코피가 안 멈추고 계속 이렇게 계속 나오면 병원에 가봐야 안 되는가 모르겠다
st_set3_collectorgs185_speakergs2084_41_7.wav,자식들 때문에 열심히 열심히 살았는데 이제 자식들이 날 챙겨주니 너무 고맙지
st_set3_collectorgs187_speakergs1008_102_6.wav,오까시믈 짜릴 때는 미리 서늘 끄어 노아야 쪽바로 잘 짜릴 수 있어예
st_set3_collectorgs195_speakergs1424_78_8.wav,시래기를 새끼에 엮어서 말려 나따가 난중에 국 끼릴 때에 영가 무면 마시때예
st_set3_collectorgs184_speakergs1157_7_9.wav,바메 바메 가리떠카고 술을 차려 노아쓰니 거니 편하게 드시면서 말씀 나누시쇼
st_set3_collectorgs195_speakergs1557_64_9.wav,담장은 납작한 돌삐를 가지고 쭉 이아 멩글기도 하는디 다 그렇지는 아임니더
st_set3_collectorgs213_speakergs3268_57_16.wav,올해는 날씨가 좋아하고 비가 적당하구로 와스카 밭 농사가 정말 잘 되어 편이라
st_set3_collectorgs185_speakergs2957_53_5.wav,지금 퍼뜩 밥상부터 채릴 테니께 배가 고프더라도 조금만 참으이소
st_set3_collectorgs185_speakergs3713_14_6.wav,밭이 별로 크지도 않으니까 양배추보다는 상추 같은 걸 심는 게 좋습니다
st_set3_collectorgs184_speakergs1028_85_5.wav,여름에 모든 음식 잘 이카 먹고 물도 꼭 끼린 것만 드셔야 돼요
st_set3_collectorgs195_speakergs1352_67_9.wav,오늘 비 올 것 거트니께네 우산 챙겨갖고 잊아버리지 말고 단디 챙겨 온나
st_set3_collectorgs184_speakergs1322_22_11.wav,요새 날씨가 가물어서 농사도 못 짓고 계속 집에만 이쓰니께 정말 답답하 답담네
st_set3_collectorgs200_speakergs2886_2_7.wav,수박은 큰 게 맛있다고 하는디 참외는 작은 게 맛있는 큰 교
st_set3_collectorgs212_speakergs2812_103_8.wav,올래는 배치 농사를 망호가 짐장을 할려믄 배치를 좀 사와가 담가야 대갣때이
st_set3_collectorgs198_speakergs2076_1_7.wav,"둥가지로
 쓸 나무는 또갈라가
 저쪽 담장 밑에 쌓아두면 됨니더
"
st_set3_collectorgs188_speakergs2855_53_6.wav,지금 얼른 밥상부터 채릴 테니꺼네 배가 고프더라도 조금만 차므이소
st_set3_collectorgs233_speakergs3074_49_8.wav,요새는 시간이 조금 지나도 다 잊어버리고 물건도 자주 잃어버려서 큰일입니다
st_set3_collectorgs185_speakergs3819_39_8.wav,닭을 달구통에 안 넣어두면은 밤에 산 짐승이 내려가 와가지고 물고 가뿐다
st_set3_collectorgs212_speakergs2061_73_8.wav,겨울에는 조적삼 안에 소캐 뭉치를 넣고 꿰매 이벋니더
st_set3_collectorgs25_speakergs508_23_10.wav,오랜만에 가족끼리 밖에서 한번 밥 먹자꼬 하는데 그것도 못하면 어쩌해 어떡해요
st_set3_collectorgs25_speakergs1706_27_13.wav,오랜만에 조캐를 보니께네 몬 알아볼 정도로 훌쩍 커 버리니까 깜짝 놀랟떼이
st_set3_collectorgs213_speakergs2568_76_11.wav,지난주에 상추도 숨카 노아쓰니꺼네 사월 사월 초쯤 데마 무글 수 있을 낌니더
st_set3_collectorgs184_speakergs1538_103_10.wav,한 해는 배치 농사를 망호가 짐장을 할라면 배치를 쫌 사와야 담궈야 되겠네
st_set3_collectorgs225_speakergs1738_103_8.wav,올해는 배치 농사를 망우가 짐장을 할라믄 배치를 좀 사와가 담궈야 데건네 
st_set3_collectorgs219_speakergs2652_13_7.wav,지사를 안 모실 것 거트만 모르지만 지사를 모실 것 거트마 정성을 들여야 됩니다
st_set3_collectorgs219_speakergs3642_82_7.wav,운동을 안 하만 좋은 약을 마이 무가도 아무 소용이 업씀니대이
st_set3_collectorgs187_speakergs3336_41_9.wav,자슥뜰 때미네 열심히 사랃는디 인자 자슥뜨리 이래꾸름 꾸름 잘 챙겨주니까 고맙찌로
st_set3_collectorgs201_speakergs2453_57_10.wav,올해는 날씨도 좋았고 비도 적당하구로 와가 밭농사가 정말 잘 된 편이다
st_set3_collectorgs183_speakergs3745_44_6.wav,동네에서 무신 사고라도 생기만 마을 사람들이 구째이 불러가 굿하고 그래씸니더
st_set3_collectorgs195_speakergs1320_27_8.wav,오랜만에 조케를 보니까네 몬 알아볼 정도로 훌쩍 꺼버려서 깜짝 놀랬데이 
st_set3_collectorgs185_speakergs1771_59_9.wav,알라가 놀이공원에 가자꼬 저렇게 짭치는데 바빠도 한 번은 가보시더
st_set3_collectorgs185_speakergs3651_64_7.wav,담장은 납작한 돌미를 가지고 쭉 이어 맹글기도 하는디 다 그렇지는 안니더
st_set3_collectorgs161_speakergs963_46_8.wav,남자들은 농악도 하고 씨름도 하고 여자들은 강강수월래 하면서 놀았지요
st_set3_collectorgs225_speakergs1738_32_8.wav,시아바님께서 옷 차려 입고 나가시면 사람들이 가다재이라고 많이 말씀하심니데이
st_set3_collectorgs184_speakergs1157_13_9.wav,지사를 안 모실 것 가트먼 모리지만 지사를 모실 것 가트먼 정성을 드려야 됨니더
st_set3_collectorgs183_speakergs2034_109_13.wav,어머이 지금 차 타고 자 나가려고 하는데 혹시 읍내로 나가시면 태워 드릴까요
st_set3_collectorgs233_speakergs4414_22_9.wav,날씨가 가물어서 농새도 못 짓고 계속 집에만 이쓰니꺼네 정말 답답네
st_set3_collectorgs233_speakergs4243_76_15.wav,지난주에 상초도 숭가 노으니까네 사월 초쯤 돼 막 먹을 수 이쓸꺼 낌니더
st_set3_collectorgs219_speakergs3007_109_8.wav,어무이 지금 차 타고 자 갈라꼬 하는디 혹시 읍내로 나가시만 태워 드릴께예
st_set3_collectorgs198_speakergs1907_98_10.wav,아들 오늘 중요한 시험 보인꺼네 이 쌩여타고 찹쌀도 묵꼬 힘내서 시험 잘 봐래이
st_set3_collectorgs183_speakergs4250_28_8.wav,수술비가 한두 푼이 아닌데 갑자기 돈 이바구를 하면 어쩌라고 마린교
st_set3_collectorgs25_speakergs508_21_9.wav,지진이 일어나면 얼른 얼른 책상 밑으로 들어가서 멈출 때까지 기다려야 합니다
st_set3_collectorgs185_speakergs1602_80_10.wav,빨리 무그면 과식하게 돼 이꺼네 배고파도 찬찬히 드시는 게 조씁니더
st_set3_collectorgs161_speakergs1599_52_6.wav,인두를 화로에 올려놓고 뜨겁게 달궈서 인두질을 하지
st_set3_collectorgs219_speakergs3680_1_7.wav,둥가지로 쓸 나무는 또갈라가 저쪼 담장 밑에 싸아두만 됨니더
st_set3_collectorgs184_speakergs1761_68_10.wav,여기는 촌꾸석이라 빙워네 갈라꼬 하몬 차를 타고 한참을 나가야 한데다
st_set3_collectorgs188_speakergs2855_75_7.wav,이부지 좀 시끄러워도 사이가 볼펴내질까 봐 고마 참고 사란니더
st_set3_collectorgs233_speakergs2008_88_14.wav,스님이 시주하러 오마 마이는 몬 드려도 쌀을 쪼매쓱 담아 드리고 그랜니데이
st_set3_collectorgs183_speakergs2034_66_10.wav,휴가 때만 되면 사람들이 여기에 놀러와가 쓰레기를 내버리니까 언성시럽다
st_set3_collectorgs183_speakergs3254_96_7.wav,혈압약은 시간을 맏춰가 챙겨 드셔야지 안 그라먼 효과가 업씀니더
st_set3_collectorgs183_speakergs3858_29_8.wav,추식 때 차례 지내면서 조상한테 감사하다고 인사를 잘 해야 된데이
st_set3_collectorgs219_speakergs3007_31_8.wav,나이가 드이꺼네 귀끼가 어두워져가 사람들이 무신 말을 해도 잘 몬 알아드껜니더
st_set3_collectorgs161_speakergs1329_84_6.wav,어릴 때 학교는 못 가고 풀 베러 가고 소 풀 먹이러 다니고 그랬습니다
st_set3_collectorgs183_speakergs4410_97_8.wav,집에 돌아와 보니께네 문이 열려 있고 뼈다지에 여어둔 돈이 전부 업서젿니더
st_set3_collectorgs212_speakergs2121_15_6.wav,옛날에는 혼자 김장을 했는데 요즘은 힘드러가 동네 사람들하고 같이 합니다
st_set3_collectorgs198_speakergs1332_3_12.wav,비단을 우예 짜는지 그 과정을 한번 좀 말씀해 주실람니꺼
st_set3_collectorgs219_speakergs3451_14_8.wav,밭이 별로 크지도 안으이께네 카배추보다는 상초 같은 걸 숨구는 기 조컨니더
st_set3_collectorgs183_speakergs1753_82_8.wav,운동을 안 하면 좋은 약을 마이 무가도 아무 소용이 없슴니대이
st_set3_collectorgs198_speakergs2076_78_9.wav,시라기를 새이끼에 영따서 말리 놨다가 난중에 국 끼릴 때 너어가 무으먼 마시써예
st_set3_collectorgs185_speakergs2844_11_8.wav,마당을 계속 관리해야지 안 그러면 금새 잡초가 자리가 엉망이 돼요
st_set3_collectorgs185_speakergs2851_47_7.wav,된장국 끼리고 호박밥 해가 양념장으로 비벼 무마 달싹하게 맛있니더
st_set3_collectorgs198_speakergs1907_1_12.wav,동가지로 설라문은 또 갈라가지고 저쪽 담당 밑에 쌓아두면 됩니다
st_set3_collectorgs184_speakergs1761_78_10.wav,시래기를 새끼에 엮어서 말려 놨다가 난중에 국 끼릴 때 여어가 무으만 마싣써예
st_set3_collectorgs233_speakergs3263_3_7.wav,기간을 어떻게 짜는지 그 과정을 한번 좀 말씀해 주실 수 있습니까
st_set3_collectorgs233_speakergs3074_34_8.wav,최적에 걸리 에 걸리면 얼굴이 노랗게 돼 가지고 사람이 기운이 하나도 없어버렸네
st_set3_collectorgs233_speakergs2656_81_17.wav,비가 많이 오면 축대부텀 살피고 위험하다 싶으면 퍼떡 집에서 나와야 합니다
st_set3_collectorgs161_speakergs1066_1_10.wav,장작으로 쓸 나무는 쪼개서 저쪽 담장에 밑에 쌓아 두면 됩니다
st_set3_collectorgs212_speakergs2931_9_5.wav,겨울에 먹을 채소나 과일 같은 것은 어디 보관핻씀니꺼
st_set3_collectorgs183_speakergs2074_109_11.wav,어무이 지금 차 타고 자아 갈라고 하는디 혹시 읍내로 나가시만 태워드릴게예
st_set3_collectorgs212_speakergs2121_108_7.wav,전화를 하고 싶었는데 얘기하는 중간에 전화하러 나오기가 어려워가 집에 전화 못핸니더
st_set3_collectorgs188_speakergs1262_54_9.wav,손은 트레끼 까만 것도 있고 빨간 것도 있는데 그케도 누른게 제일 만치로
st_set3_collectorgs161_speakergs1899_67_7.wav,오늘 비 올 것 같으니까 우산 챙기 가고 잃어버리지 말고 잘 챙겨 오세요
st_set3_collectorgs184_speakergs1157_35_8.wav,돼지 머리 갖다 놓고 굿판 벌리믄 동네 사람들 쭉 와가 기경도 하고 그랬습니다
st_set3_collectorgs204_speakergs2275_98_14.wav,아들 오늘 중요한 시험 보이께네 이 생여타고 찹쌀떡 묵꼬 힘내서 시험 잘 배레이
st_set3_collectorgs188_speakergs2299_107_7.wav,요새는 세월이 조타만 우리 클 때는 하고 싶은 것도 못하고 고생이 많았어
st_set3_collectorgs183_speakergs1753_58_11.wav,자슥뜰 서울에서 직장 당기는디 바빠가 연락은 잘 못해도 잘 있지 안켄는교
st_set3_collectorgs161_speakergs1899_91_8.wav,점심때 돌잔치에 가서 어쩌담 얼 어쩌나 많이 먹었는지 배불러서 저녁을 못 먹겠어요
st_set3_collectorgs219_speakergs2652_98_8.wav,아들 오늘 중요한 시험 보이꺼네 이 생녓타고 찹쌀떡 무꼬 심내서 시험 잘 봐래이
st_set3_collectorgs184_speakergs1761_31_7.wav,나이가 드니꺼네 귀가 어두워져가 사람들이 무신 말을 해도 잘 몬 알아듣겠니더
st_set3_collectorgs212_speakergs2419_24_9.wav,새옷 이브니꺼네 사람이 달래 비는데 전부텀 내가 새옷 좀 사 입으라고 안해 안 하드냐
st_set3_collectorgs185_speakergs4167_23_6.wav,오랜만에 가족찌리 외식 한번 하자고 하는데 그것도 몬하면 우야능교
st_set3_collectorgs183_speakergs4410_31_10.wav,나이가 드이꺼네 기끼가 어두워져가 사람들이 무신 말을 해도 잘 몬 아라드껫니더
st_set3_collectorgs212_speakergs2542_81_9.wav,비가 마이 오만 축대부텀 살피고 위험하다 싶으면 버뜩 집에서 나와야 함니더
st_set3_collectorgs198_speakergs1264_28_7.wav,수술비가 한두 푼이 아인디 갑째기 돈 이바구를 하만 어짜라는 마리고
st_set3_collectorgs183_speakergs3745_62_7.wav,날이 더우만 소금을 쪼깨 여코 추우만 마이 여코 그래야 맛이 제대로 남니더
st_set3_collectorgs161_speakergs963_90_10.wav,우리 며누리는 농사 일은 잘 못해도 청소 하나는 정말 정갈스럽게 잘합니다
st_set3_collectorgs212_speakergs2931_23_6.wav,오랜만에 가족끼리 외식 한번 하자꼬 하는데 그것도 못하면 우야노
st_set3_collectorgs183_speakergs3064_20_7.wav,여기까정 오시느라 욕뽠는디 시원한 냉수부텀 한잔 드시소
st_set3_collectorgs187_speakergs3336_91_7.wav,점심 때 돌잔치 가가 어찌나 많이 먹었는지 배불러서 저녁을 못 먹거써예
st_set3_collectorgs161_speakergs963_96_6.wav,혈압약은 시간을 맞춰서 챙겨 드셔야지 안 그러면 효과가 없습니다
st_set3_collectorgs183_speakergs1458_16_9.wav,산에 가서 조금만 댕기보면 지팽이 만드는 좋은 나무가 천지삐까리드라
st_set3_collectorgs183_speakergs4142_14_8.wav,밭이 벨로 크지도 않으이꺼네 카배추보다는 상초 겉은 걸 숨구는 거 좋겄니더
st_set3_collectorgs183_speakergs3745_13_7.wav,지사를 안 모실 것 같으면 모르지만 지사를 모실 것 같으면 정성을 들여야 되니더
st_set3_collectorgs187_speakergs3336_16_8.wav,산에 가서 조금만 땡겨보면 지패이 만들기 좋은 나무가 천지빼까리입시더
st_set3_collectorgs213_speakergs3067_61_13.wav,구죽 신은 지 오년이 지내니께 굽이 다 따라서 따라가 인자는 내삐리야겠네
st_set3_collectorgs183_speakergs3064_51_7.wav,우리 어무이는 솜씨가 조아가 옷도 잘 맹글고 음속또 마깔나고로 해씀니더
st_set3_collectorgs212_speakergs2812_1_6.wav,둔가리로 쓸 나무는 쪼가리가 저쪽 담장 밑에 쌓아두면 됨니더
st_set3_collectorgs212_speakergs2931_52_6.wav,윤디를 화로에 올려 놓고 뜨겁꾸로 달궈가 윤디지를 하지로
st_set3_collectorgs25_speakergs2221_42_10.wav,태풍 때미네 바람이 세게 부이까네 산사태가 날까 봐 잠을 한숨도 못 자니더
st_set3_collectorgs183_speakergs4142_93_7.wav,삼비는 하루 저녁에만 많이 짜는디 맹주는 촘촘해가 안만 짜도 많이 못 짜예
st_set3_collectorgs161_speakergs963_11_9.wav,마당을 계속 관리해야지 안 그러면 금세 잡초가 자라가 엉망이 돼요
st_set3_collectorgs184_speakergs1538_19_10.wav,옛날에는 특별한 간식이 업을거네 옥수깽이나 감자 같은 걸 먹고 그랬대
st_set3_collectorgs233_speakergs4355_50_13.wav,상당하면 지인하고 일꾼들이 음식도 농갈라 먹고 술도 마시고 그랜니더
st_set3_collectorgs183_speakergs4250_24_8.wav,이브니꺼네 사람이 달라 비는디 전부터 내가 옷 좀 사 입으라고 안 하더나
st_set3_collectorgs183_speakergs1936_40_8.wav,콘센트에 코드를 너무 많이 꼬브먼 불이 날 수 있으니까 정말 위험암미데이
st_set3_collectorgs187_speakergs1008_92_7.wav,처음에는 형한테 화가 마이 나썯는디 이야기를 듣다 보인까네 이해가 되더라고예
st_set3_collectorgs184_speakergs1410_102_9.wav,옫까시믈 짜를 때는 미리 선을 꺼 놔야 쪽빠로 잘 자를 수 읻떼이
st_set3_collectorgs161_speakergs1899_16_7.wav,산에 가서 조금만 다녀보면 지팡이 만들기 좋은 나무가 아주 많습니다
st_set3_collectorgs184_speakergs1761_40_7.wav,콘센트에 코드를 너무 많이 꼬브만 불이 날 수 이쓰니께 정말 위험함미데이
st_set3_collectorgs185_speakergs1602_49_8.wav,요새는 시간이 조금만 지나도 다 이저삐고 물건도 자주 일가뿌래서 크니림니더
st_set3_collectorgs185_speakergs3651_68_7.wav,여기는 촌 꾸서기라 빙워네 갈라카믄 차를 타고 한참을 나가야 함니데이
